level_0,index,playerID,yearID,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
0,0,abadan01,2001,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,abbotje01,2001,1,28,42,5,11,3,0,0,5.0,0.0,0.0,3,7.0,0.0,1.0,0.0,0.0,1.0
2,2,abbotku01,2001,1,6,9,0,2,0,0,0,0.0,1.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0
3,3,abbotpa01,2001,1,28,4,0,1,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
4,4,abernbr01,2001,1,79,304,43,82,17,1,5,33.0,8.0,3.0,27,35.0,1.0,0.0,3.0,1.0,3.0
5,5,abreubo01,2001,1,162,588,118,170,48,4,31,110.0,36.0,14.0,106,137.0,11.0,1.0,0.0,9.0,13.0
6,6,acevejo01,2001,1,18,34,1,4,1,0,0,1.0,0.0,0.0,0,18.0,0.0,0.0,2.0,0.0,0.0
7,7,aceveju01,4002,3,59,3,1,1,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
8,8,adamste01,2001,1,43,39,2,2,1,0,0,1.0,0.0,0.0,3,19.0,0.0,0.0,5.0,1.0,0.0
9,9,agbaybe01,2001,1,91,296,28,82,14,2,6,27.0,4.0,5.0,36,73.0,0.0,5.0,1.0,1.0,11.0
10,10,ainswku01,2001,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,alcanis01,2001,1,14,38,3,10,1,0,0,3.0,1.0,0.0,3,13.0,0.0,0.0,0.0,0.0,3.0
12,12,aldrico01,2001,1,8,5,1,0,0,0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0
13,13,alfonan01,2001,1,58,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,alfoned01,2001,1,124,457,64,111,22,0,17,49.0,5.0,0.0,51,62.0,0.0,5.0,1.0,5.0,7.0
15,15,alicelu01,2001,1,113,387,44,106,16,4,4,32.0,8.0,6.0,23,56.0,0.0,4.0,3.0,1.0,6.0
16,16,allench01,2001,1,57,175,20,46,13,2,4,20.0,1.0,2.0,19,37.0,1.0,0.0,0.0,1.0,7.0
17,17,almanar01,2001,1,52,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,almanca01,2001,1,10,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,almoner01,2001,1,8,4,0,2,1,0,0,0.0,2.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
20,20,alomaro01,2001,1,157,575,113,193,34,12,20,100.0,30.0,6.0,80,71.0,5.0,4.0,9.0,9.0,9.0
21,21,alomasa02,2001,1,70,220,17,54,8,1,4,21.0,1.0,2.0,12,17.0,1.0,2.0,3.0,2.0,6.0
22,22,aloumo01,2001,1,136,513,79,170,31,1,27,108.0,5.0,1.0,57,57.0,14.0,3.0,0.0,8.0,18.0
23,23,anderbr01,2001,1,131,430,50,87,12,3,8,45.0,12.0,4.0,60,77.0,4.0,8.0,2.0,1.0,3.0
24,24,anderbr02,2001,1,33,37,1,5,1,1,0,2.0,0.0,0.0,0,9.0,0.0,0.0,0.0,0.0,2.0
25,25,anderga01,2001,1,161,672,83,194,39,2,28,123.0,13.0,6.0,27,100.0,4.0,0.0,0.0,5.0,12.0
26,26,anderji02,2001,1,34,59,2,7,1,0,0,3.0,0.0,0.0,4,15.0,0.0,0.0,6.0,0.0,1.0
27,27,anderma01,2001,1,62,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,anderma02,2001,1,147,522,69,153,30,2,11,61.0,8.0,5.0,35,74.0,5.0,2.0,10.0,5.0,12.0
29,29,ankieri01,2001,1,6,8,1,0,0,0,0,0.0,0.0,0.0,1,5.0,0.0,0.0,1.0,0.0,0.0
30,30,appieke01,2001,1,33,62,4,7,0,0,0,4.0,0.0,0.0,1,24.0,0.0,1.0,3.0,0.0,0.0
31,31,ariasal01,2001,1,70,137,19,31,9,0,2,12.0,1.0,0.0,17,22.0,1.0,1.0,1.0,2.0,3.0
32,32,armasto02,2001,1,34,53,2,8,1,0,0,4.0,0.0,0.0,0,17.0,0.0,0.0,6.0,0.0,0.0
33,33,arrojro01,2001,1,41,4,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0
34,34,arroybr01,2001,1,24,21,0,1,0,0,0,1.0,0.0,0.0,1,16.0,0.0,0.0,0.0,1.0,0.0
35,35,ashbyan01,2001,1,3,2,1,1,0,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,2.0,0.0,0.0
36,36,astacpe01,4002,3,26,53,2,5,0,0,0,3.0,0.0,0.0,0,17.0,0.0,0.0,11.0,0.0,0.0
37,37,atchlju01,2001,1,15,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
38,38,aurilri01,2001,1,156,636,114,206,37,5,37,97.0,1.0,3.0,47,83.0,2.0,0.0,3.0,3.0,14.0
39,39,ausmubr01,2001,1,128,422,45,98,23,4,5,34.0,4.0,1.0,30,64.0,6.0,1.0,6.0,2.0,13.0
40,40,austije01,2001,1,21,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,41,avenbr01,2001,1,21,24,3,8,2,0,1,2.0,0.0,0.0,0,5.0,0.0,2.0,0.0,0.0,0.0
42,42,aybarma01,2001,1,17,3,1,3,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
43,43,bacsimi02,2001,1,3,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,baezbe01,2001,1,8,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,baezda01,2001,1,43,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,46,bagweje01,2001,1,161,600,126,173,43,4,39,130.0,11.0,3.0,106,135.0,5.0,6.0,0.0,5.0,20.0
47,47,baileco01,2001,1,53,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
48,48,baineha01,2001,1,32,84,3,11,1,0,0,6.0,0.0,0.0,8,16.0,0.0,0.0,0.0,2.0,2.0
49,49,bakopa01,2001,1,61,137,19,29,10,1,2,15.0,1.0,0.0,20,34.0,2.0,0.0,0.0,0.0,3.0
50,50,baldwja01,4002,3,29,28,0,2,1,0,0,1.0,0.0,0.0,0,13.0,0.0,0.0,1.0,0.0,1.0
51,51,balejo01,2001,1,14,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,balfogr01,2001,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,bankswi01,2001,1,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,barajro01,2001,1,51,106,9,17,3,0,3,9.0,0.0,0.0,4,26.0,0.0,0.0,0.0,0.0,0.0
55,55,barcelo01,2001,1,17,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,barkean01,2001,1,17,46,5,14,2,0,1,3.0,1.0,0.0,4,7.0,1.0,1.0,0.0,0.0,2.0
57,57,barkegl01,2001,1,70,24,12,2,0,0,0,1.0,4.0,6.0,3,6.0,0.0,2.0,0.0,1.0,0.0
58,58,barnejo01,2001,1,9,21,1,1,0,0,0,0.0,0.0,0.0,1,3.0,0.0,1.0,0.0,0.0,0.0
59,59,barnela01,2001,1,16,40,2,4,0,0,1,2.0,0.0,0.0,1,9.0,0.0,0.0,0.0,0.0,1.0
60,60,barremi01,2001,1,132,472,42,118,33,2,6,38.0,2.0,1.0,25,54.0,2.0,2.0,4.0,3.0,14.0
61,61,barteki01,2001,1,12,15,0,0,0,0,0,1.0,0.0,0.0,2,5.0,1.0,1.0,0.0,1.0,0.0
62,62,batismi01,2001,1,48,32,2,2,0,0,0,0.0,0.0,0.0,2,17.0,0.0,0.0,2.0,0.0,0.0
63,63,batisto01,4002,3,156,579,70,138,27,6,25,87.0,5.0,2.0,32,113.0,1.0,4.0,0.0,7.0,9.0
64,64,bauerri01,2001,1,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
65,65,bautida01,2001,1,100,222,26,67,11,2,5,26.0,3.0,2.0,14,31.0,1.0,1.0,2.0,0.0,7.0
66,66,beckejo02,2001,1,4,7,1,2,1,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,2.0,0.0,0.0
67,67,beckro01,2001,1,68,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
68,68,beimejo01,2001,1,42,26,3,7,0,0,0,0.0,0.0,0.0,1,10.0,0.0,0.0,4.0,0.0,0.0
69,69,beirnke01,2001,1,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
70,70,belitto01,2001,1,8,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
71,71,bellda01,2001,1,135,470,62,122,28,0,15,64.0,2.0,1.0,28,59.0,1.0,3.0,5.0,4.0,8.0
72,72,bellde01,2001,1,46,156,14,27,3,0,5,13.0,0.0,2.0,25,38.0,5.0,0.0,2.0,0.0,4.0
73,73,bellhma01,2001,1,38,74,11,10,1,2,1,4.0,0.0,0.0,7,37.0,0.0,0.0,1.0,0.0,1.0
74,74,bellicl01,2001,1,51,81,12,13,1,1,5,12.0,1.0,2.0,4,23.0,0.0,1.0,1.0,1.0,2.0
75,75,belliro01,2001,1,101,364,69,96,30,3,11,36.0,5.0,2.0,35,65.0,2.0,5.0,4.0,2.0,5.0
76,76,bellja01,2001,1,129,428,59,106,24,1,13,46.0,0.0,1.0,65,79.0,3.0,4.0,8.0,4.0,9.0
77,77,bellro01,4002,3,27,7,0,1,0,0,0,0.0,0.0,0.0,1,4.0,0.0,0.0,2.0,0.0,0.0
78,78,beltrad01,2001,1,126,475,59,126,22,4,13,60.0,13.0,4.0,28,82.0,1.0,5.0,2.0,5.0,9.0
79,79,beltrca01,2001,1,155,617,106,189,32,12,24,101.0,31.0,1.0,52,120.0,2.0,5.0,1.0,5.0,7.0
80,80,benarma01,2001,1,129,392,70,104,19,2,15,44.0,10.0,5.0,29,66.0,2.0,4.0,1.0,3.0,3.0
81,81,benesal01,2001,1,9,2,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
82,82,benesan01,2001,1,27,32,1,5,3,0,0,4.0,0.0,0.0,1,15.0,0.0,0.0,2.0,0.0,0.0
83,83,benitar01,2001,1,73,1,0,0,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
84,84,bennega01,6003,6,46,131,15,32,6,1,2,10.0,0.0,0.0,12,24.0,4.0,1.0,2.0,2.0,1.0
85,85,benoijo01,2001,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
86,86,bereja01,2001,1,32,62,2,12,4,0,0,2.0,0.0,0.0,0,18.0,0.0,0.0,7.0,0.0,2.0
87,87,bergda01,2001,1,82,215,26,52,12,1,4,16.0,0.0,1.0,14,39.0,0.0,2.0,2.0,2.0,3.0
88,88,bergebr01,2001,1,6,16,4,5,1,1,2,2.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,0.0
89,89,bergepe01,2001,1,102,375,53,79,11,4,3,16.0,10.0,7.0,28,87.0,2.0,5.0,8.0,0.0,5.0
90,90,berkmla01,2001,1,156,577,110,191,55,5,34,126.0,7.0,9.0,92,121.0,5.0,13.0,0.0,6.0,8.0
91,91,bernead01,2001,1,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
92,92,berroan01,2001,1,15,53,8,16,2,0,0,4.0,2.0,0.0,3,10.0,0.0,0.0,0.0,0.0,2.0
93,93,betemwi01,2001,1,8,3,1,0,0,0,0,0.0,1.0,0.0,2,3.0,0.0,0.0,0.0,0.0,0.0
94,94,bicheda01,2001,1,107,391,45,112,30,1,12,49.0,2.0,2.0,20,76.0,1.0,3.0,0.0,1.0,13.0
95,95,biddlro01,2001,1,30,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
96,96,bierbni01,4002,3,17,6,3,4,1,0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,2.0,0.0,0.0
97,97,bigbila01,2001,1,47,131,15,30,6,0,2,11.0,4.0,1.0,17,42.0,1.0,0.0,1.0,0.0,2.0
98,98,biggicr01,2001,1,155,617,118,180,35,3,20,70.0,7.0,4.0,66,100.0,4.0,28.0,0.0,6.0,11.0
99,99,blairwi01,2001,1,9,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
100,100,blakeca01,4002,3,19,37,3,9,1,0,1,4.0,3.0,0.0,4,12.0,1.0,0.0,0.0,0.0,0.0
